"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Contractor,Country of Operator/Owner,Purpose,Detailed Purpose,Class of Orbit,Launch Mass (kg.), Dry Mass (kg.) ,Date of Launch
BRO-8,France,Denmark,France,Earth Observation,Maritime Surveillance,LEO,10,10,3/01/2023
BRO-9,France,Denmark,France,Earth Observation,Maritime Surveillance,LEO,10,10,15/04/2023
Brokkr-1 (OrbAstro-AF-1)  ,NR (9/23),UK,United Kingdom,Technology Development,,LEO,10,10,15/04/2023
BSAT-3A,Japan,USA,Japan,Communications,,GEO,"1,980",,14/08/2007
BSAT-3B,Japan,USA,Japan,Communications,,GEO,"2,060", 975 ,28/10/2010
BSAT-3C/JCSat 110-R,Japan,USA,Japan,Communications,,GEO,"2,910",,6/08/2011
BSAT-4A,Japan,USA,Japan,Communications,,GEO,"3,520",,29/09/2017
BSAT-4B,Japan,USA,Japan,Communications,,GEO,"3,520",,15/08/2020
Buccaneer RMM,Australia,Australia,Australia,Technology Development,,LEO,4,,18/11/2017
Bufeng-1A,NR,China,China,Earth Observation,Meteorology,LEO,,,5/06/2019
Bufeng-1B,NR,China,China,Earth Observation,Meteorology,LEO,,,5/06/2019
Bugsat-1 (Tita),NR,Argentina,Argentina,Technology Development,,LEO,25,,19/06/2014
BulgariaSat-1,NR,USA,Bulgaria,Communications,,GEO,"3,669",,23/06/2017
CACTUS-1 (Coordinated Applied Capitol Technology University Satellite 1),NR,USA,USA,Technology Development,,LEO,4,,17/01/2021
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),France,France,France,Earth Science,,LEO,587,,28/04/2006
CanX-2 (Canadian Advanced Nanospace experiment),Canada,Canada,Canada,Technology Development,,LEO,7,,28/04/2008
CanX-4,Canada,Canada,Canada,Technology Development,,LEO,15,,30/06/2014
CanX-5,Canada,Canada,Canada,Technology Development,,LEO,15,,30/06/2014
CanX-7,Canada,Canada,Canada,Technology Development,,LEO,15,,26/09/2016
CAPE-3 (Cajun Advanced Picosatellite Experiment-3),USA,USA,USA,Technology Development,,LEO,1,,17/01/2021
Capella-10 (Whitney 8),USA,USA,USA,Earth Observation,Radar Imaging (SAR),LEO,112, 90 ,16/03/2023
Capella-6 (Whitney 4),USA,USA,USA,Earth Observation,Radar Imaging (SAR),LEO,100,,6/05/2021
Capella-7 (Whitney 5),USA,USA,USA,Earth Observation,Radar Imaging (SAR),LEO,112, 90 ,13/01/2022
Capella-8 (Whitney 6),USA,USA,USA,Earth Observation,Radar Imaging (SAR),LEO,112, 90 ,13/01/2022
Capella-9 (Whitney 7),USA,USA,USA,Earth Observation,Radar Imaging (SAR),LEO,112, 90 ,16/03/2023
CartoSat 1 (IRS P5),India,India,India,Earth Observation,Optical Imaging,LEO,"1,560"," 1,450 ",5/05/2005
"CartoSat 2 (IRS P7, CartoSat 2AT)",India,India,India,Earth Observation,Optical Imaging,LEO,680,,10/01/2007
CartoSat 2A,India,India,India,Earth Observation,Optical Imaging,LEO,680,,28/04/2008
CartoSat 2B,India,India,India,Earth Observation,Optical Imaging,LEO,694,,12/07/2010
CartoSat 2C,India,India,India,Earth Observation,Optical Imaging,LEO,727,,22/06/2016
CartoSat 2D,India,India,India,Earth Observation,Optical Imaging,LEO,714,,15/02/2017
CartoSat 2E,India,India,India,Earth Observation,Optical Imaging,LEO,712,,22/06/2017
CartoSat 2F,India,India,India,Earth Observation,Optical Imaging,LEO,712,,11/01/2018
CartoSat 3,India,India,India,Earth Observation,Optical Imaging,LEO,"1,625",,27/11/2019
CAS500-1,South Korea,South Korea,South Korea,Earth Observation,Multispectral Imaging,LEO,500,,22/03/2021
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer),Canada,Canada,Canada,Earth Science,,LEO,490,,29/09/2013
"CBAS-1 (USA 283, Continuous Broadcast Augmenting SATCOM-1)",USA,USA,USA,Communications,,GEO,,,14/04/2018
"CBAS-2 (USA 342, Continuous Broadcast Augmenting SATCOM-2, USSF 67)",USA,USA,USA,Communications,,GEO,"3,200"," 2,800 ",16/01/2023
CBERS 4 (China-Brazil Earth Resources Satellite 4),China,China,China/Brazil,Earth Observation,Optical Imaging,LEO,"1,980",,7/12/2014
CBERS 4A (China-Brazil Earth Resources Satellite 4A),Brazil,China,China/Brazil,Earth Observation ,Optical Imaging,LEO,"1,980",,21/12/2019
CBNT-1 (Carbonite 1),United KIngdom,UK,United Kingdom,Technology Development,,LEO,91,,10/07/2015
CBNT-2 (Carbonite 2),United Kingdom,UK,United Kingdom,Technology Development,,LEO,,,11/01/2018
CE-SAT-1 (Canon Electric Satellite 1),Japan,Japan,Japan,Technology Development,Optical Imaging,LEO,3,,22/06/2017
CE-SAT-2B (Canon Electric Satellite 2B),Japan,Japan,Japan,Technology Demonstration,Optical Imaging,LEO,36,,28/10/2020
CELTEE-1 (CubeSat Enhanced Locator Transponder Evaluation Experiment-1),USA,USA,USA,Technology Development,,LEO,3,,11/11/2016
Centauri-1,Australia,USA,Australia,Communications,,LEO,4,,29/11/2018
Centauri-2,Australia,USA,Australia,Technology Development,,LEO,4,,3/12/2018
Centispace-1-S1,China,China,China,Technology Development,,LEO,100,,29/09/2018
CeReS (Compact Radiation belt Explorer),NR,USA,USA,Space Science,,LEO,4,,16/12/2018
CERES 1 (CapacitÉ de Renseignement Électromagnétique Spatiale),France,UK,France,Earth Observation,Electronic Intelligence,LEO,400,,16/11/2021
CERES 2 (CapacitÉ de Renseignement Électromagnétique Spatiale),France,UK,France,Earth Observation,Electronic Intelligence,LEO,400,,16/11/2021
CERES 3 (CapacitÉ de Renseignement Électromagnétique Spatiale),France,UK,France,Earth Observation,Electronic Intelligence,LEO,400,,16/11/2021
Cesium Satellite 1,USA,USA,USA,Technology Development,,LEO,10, 10 ,27/09/2021
Cesium Satellite 2,USA,USA,USA,Technology Development,,LEO,10, 10 ,27/09/2021
CFOSat (China-France Oceanography Satellite),China,China/France,China/France,Earth Observation,Meteorology,LEO,700,,28/10/2018
Challenge One,Russia,Tunisia,Tunisia,Technology Development,,LEO,3,,22/03/2021
Chandra X-Ray Observatory (CXO),USA,USA,USA,Space Science,,Elliptical,"4,742",,23/07/1999
Changshagaoxin (TY 4-01) ,NR,China,China,Technology Development,,LEO,8,,29/10/2018
Chao Fenbianlu Duo Guangpu Chengxiang Weixing (Ultra-resolution multispectral imaging satellite),China,China,China,Earth Observation ,Multispectral Imaging,LEO,50,,21/12/2016
Chaohu-1,NR (4/22),China,China,Earth Observation,Radar Imaging,LEO,325,,27/02/2022
"CHASE (Chinese Hydrogen Alpha Solar Explorer, Xihe)",NR (1/22),China,China,Space Science,,LEO,500,,14/10/2021
Checkmate 1,USA,USA,USA,Technology Demonstration,,LEO,150, 150 ,2/04/2023
Checkmate 2,USA,USA,USA,Technology Demonstration,,LEO,150, 150 ,2/04/2023
Checkmate 3,USA,USA,USA,Technology Demonstration,,LEO,150, 150 ,2/04/2023
Checkmate 4,USA,USA,USA,Technology Demonstration,,LEO,150, 150 ,2/04/2023
Checkmate 5,USA,USA,USA,Technology Demonstration,,LEO,150, 150 ,2/04/2023
Checkmate 6,USA,USA,USA,Technology Demonstration,,LEO,150, 150 ,2/04/2023
Checkmate 7,USA,USA,USA,Technology Demonstration,,LEO,150, 150 ,2/04/2023
Checkmate 8,USA,USA,USA,Technology Demonstration,,LEO,150, 150 ,2/04/2023
CHEOPS (CHaracterising ExOPlanet Satellite),ESA,ESA/EADS CASA Espacio,ESA,Space Science,,LEO,273,,18/12/2019
Chimera LEO-1,NR (9/23),Argentina,Argentina,Technology Demonstration,,LEO,270, 100 ,3/01/2023
CHOMPTT (CubeSat Handling Of Multisystem Precision Time Transfer),NR,USA,USA,Technology Development,,LEO,4,,16/12/2018
"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1)",China,China,China,Communications,,LEO,100,,21/10/2003
Chuangxin 1-2 (Innovation 1-2),China,China,China,Earth Observation,Optical Imaging/Meterology,LEO,101,,5/11/2008
Chuangxin 1-3 (Innovation 1-3),China,China,China,Earth Observation,Optical Imaging/Meterology,LEO,100,,20/11/2011
Chuangxin 1-4 (Innovation 1-4),China,China ,China,Earth Observation,Optical Imaging/Meterology,LEO,100,,4/09/2014
Chuangxin-16A,NR (12/22),China,China,Technology Development,,LEO,100,,23/08/2022
Chuangxin-16B,NR (12/22),China,China,Technology Development,,LEO,100,,23/08/2022
Chuangxin-3,China,China,China,Technology Development,,LEO,200,,19/07/2013
Cicero-10 (Community Initiative for Cellular Earth Remote Observation-10),NR,USA,USA,Earth Observation,Meteorology,LEO,10,,10/11/2018
Cicero-2,NR,USA,USA,Earth Observation,Meteorology,LEO,10,,14/07/2017
Cicero-2 OP1,USA,USA,USA,Earth Observation,Meteorology,LEO,,,25/05/2022
Cicero-2 OP2,USA,USA,USA,Earth Observation,Meteorology,LEO, 10 ,,25/05/2022
Cicero-3,NR,USA,USA,Earth Observation,Meteorology,LEO,10,,14/07/2017
Cicero-6 (Community Initiative for Cellular Earth Remote Observation-6),NR,USA,USA,Earth Observation,Meteorology,LEO,10,,23/06/2017
Cicero-7 (Community Initiative for Cellular Earth Remote Observation-7),NR,USA,USA,Earth Observation,Meteorology,LEO,10,,11/01/2018
Cicero-8 (Community Initiative for Cellular Earth Remote Observation-8),NR,USA,USA,Earth Observation,Meteorology,LEO, 10 ,,11/29/018
Ciel-2,Canada,France,Canada,Communications,,GEO,,,10/12/2008
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",USA,USA,USA,Space Science,,LEO,3,,13/09/2012
CIRBE (Colorado Inner Radiation Belt Experiment),USA,USA,USA,Space Science,,LEO,5, 5 ,15/04/2023
CIRiS (Compact Radiometer in Space),USA,USA,USA,Technology Development,,LEO,9,,31/01/2020
CLIO (USA 257),USA,USA,USA,Communications,,GEO,,,16/09/2014
Cloudsat,USA,USA,USA,Earth Observation,Radar Imaging,LEO,848,,28/04/2006
CMS-1 (GSAT 12R),India,India,India,Communications,,GEO,"1,500",,17/12/2020
CNCE-1,USA,USA,USA,Communications,,LEO,5,,30/06/2021
CNCE-3,USA,USA,USA,Communications,,LEO,5,,30/06/2021
Compass-2 (QB50-DE04),Belgium,Germany,Germany,Technology Development,,LEO,5,,23/06/2017
"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",South Korea,South Korea,South Korea,Earth Observation/Communications,Optical Imaging/Meteorology,GEO,"2,460",,26/06/2010
COMSATBw-1 (COmmunications SATellite für BundesWehr),Germany,France/Italy,Germany,Communications,,GEO,"2,440",,1/10/2009
COMSATBw-2 (COmmunications SATellite für BundesWehr),Germany,France/Italy,Germany,Communications,,GEO,"2,440",,21/05/2010
Connecta T1-2 ,Turkey,Turkey,Turkey,Communications,Internet of Things (IoT)/Amateur Radio,LEO,10,10,3/01/2023
Connecta T2-1,Turkey,Turkey,Turkey,Earth Observation,Multispectral Imaging,LEO,10,10,15/04/2023
Coriolis (Windsat),USA,USA,USA,Earth Observation,,LEO,817, 395 ,6/01/2003
CORVUS BC1 (Landmapper),USA,USA,USA,Earth Observation,,LEO,10,,12/07/2017
CORVUS BC2 (Landmapper),USA,USA,USA,Earth Observation,,LEO,10,,12/07/2017
CORVUS BC3 (Landmapper),USA,USA,USA,Earth Observation,,LEO,10,,12/01/2018
CORVUS BC4 (Landmapper),USA,USA,USA,Earth Observation,,LEO,10,,3/12/2018
CORVUS BC5 (Landmapper),USA,USA,USA,Earth Observation,,LEO,10,,20/11/2020
"COSMIC 2-1 (COSMIC FM-1, Formosat 7A)",NR,UK,Taiwan,Earth Observation,Meteorology,LEO,280,,25/06/2019
"COSMIC 2-2 (COSMIC FM-2, Formosat 7B)",NR,UK,Taiwan,Earth Observation,Meteorology,LEO,280,,25/06/2019
"COSMIC 2-3 (COSMIC FM-3, Formosat 7C)",NR,UK,Taiwan,Earth Observation,Meteorology,LEO,280,,25/06/2019
"COSMIC 2-4 (COSMIC FM-4, Formosat 7D)",NR,UK,Taiwan,Earth Observation,Meteorology,LEO,280,,25/06/2019
"COSMIC 2-5 (COSMIC FM-5, Formosat 7E)",NR,UK,Taiwan,Earth Observation,Meteorology,LEO,280,,25/06/2019
"COSMIC 2-6 (COSMIC FM-6, Formosat 7F)",NR,UK,Taiwan,Earth Observation,Meteorology,LEO,280,,25/06/2019
"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,USA,Taiwan,Earth Observation,Meteorology,LEO,70,,15/04/2006
"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,USA,Taiwan,Earth Observation,Meteorology,LEO,70,,15/04/2006
"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,USA,Taiwan,Earth Observation,Meteorology,LEO,70,,15/04/2006
"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,USA,Taiwan,Earth Observation,Meteorology,LEO,70,,15/04/2006
"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,USA,Taiwan,Earth Observation,Meteorology,LEO,70,,15/04/2006
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),Italy,France/Italy,Italy,Earth Observation,Radar Imaging,LEO,"1,700",,8/06/2007
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italy,Earth Observation,Radar Imaging,LEO,"1,700",,9/12/2007
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italy,Earth Observation,Radar Imaging,LEO,"1,700",,25/10/2008
COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italy,Earth Observation,Radar Imaging,LEO,"1,700",,6/11/2010
COSMO-Skymed FM2,NR (4/22),Italy,Italy,Earth Observation,Radar Imaging,LEO,"1,800",,31/01/2022
Cosmos 2504,Russia,Russia,Russia,Technology Development,,LEO,,,31/03/2015
Cosmos 2535,Russia,Russia,Russia,Technology Development,,LEO,,,10/07/2019
Cosmos 2536,Russia,Russia,Russia,Technology Development,,LEO,,,10/07/2019
Cosmos 2542,Russia,Russia,Russia,Earth/Space Observation,,LEO,,,25/11/2019
Cosmos 2543,Russia,Russia,Russia,Earth/Space Observation,,LEO,,,25/11/2019
Cosmos 2568,Russia,Russia,Russia,Earth/Space Observation,,LEO,,,29/03/2023
Cosmos 3537,Russia,Russia,Russia,Technology Development,,LEO,,,10/07/2019
Cosmos 3538,Russia,Russia,Russia,Technology Development,,LEO,,,10/07/2019
CP-10 (Exocube),NR,USA,USA,Earth Observation,Earth Science,LEO,4,,31/01/2015
Cryosat-2 ,ESA,France/UK/Germany/Spain,ESA,Earth Observation,Radar Imaging,LEO,720,,8/04/2010
CSG-1 (COSMO-SkyMed Second Generation),Italy,Italy,Italy,Earth Observation,Radar Imaging,LEO,"2,205",,18/12/2019
CSIM-FD (Compact Spectral Irradiance Monitor - Flight Demonstration),NR,USA,USA,Space Science,,LEO,6,,3/12/2018
CSO-1 (Optical Space Component-1),France,France,France,Earth Observation,Multispectral Imaging,LEO,"3,565",,19/12/2018
CSO-2 (Optical Space Component-2),France,France,France,Earth Observation,Multispectral Imaging,LEO,"3,565",,28/12/2020
"Cubebug 2 (Manolito, LO-74)",NR,Argentina,Argentina,Technology Development,,LEO,2,,21/11/2013
CubeSail T,NR,USA,USA,Technology Development,,LEO,3,,16/12/2018
"Cubesat XI-IV (Oscar 57, CO-57)",Japan,Japan,Japan,Technology Development,,LEO,, 1 ,30/06/2003
CuPID (Cusp Plasma Imaging Detector),USA,USA,USA,Earth Science,,LEO,10, 10 ,27/09/2021
CUTE (Colorado Ultraviolet Transit Experiment),USA,USA,USA,Space Science,,LEO,10, 10 ,27/09/2021
CYGNSS FM01 (Cyclone Global Navigation Satellite System),USA,USA,USA,Earth Observation,Radar Imaging/Earth Science,LEO,29,,15/12/2016
CYGNSS FM02 (Cyclone Global Navigation Satellite System),USA,USA,USA,Earth Observation,Radar Imaging/Earth Science,LEO,29,,15/12/2016
CYGNSS FM03 (Cyclone Global Navigation Satellite System),USA,USA,USA,Earth Observation,Radar Imaging/Earth Science,LEO,29,,15/12/2016
CYGNSS FM04 (Cyclone Global Navigation Satellite System),USA,USA,USA,Earth Observation,Radar Imaging/Earth Science,LEO,29,,15/12/2016
CYGNSS FM05 (Cyclone Global Navigation Satellite System),USA,USA,USA,Earth Observation,Radar Imaging/Earth Science,LEO,29,,15/12/2016
CYGNSS FM06 (Cyclone Global Navigation Satellite System),USA,USA,USA,Earth Observation,Radar Imaging/Earth Science,LEO,29,,15/12/2016
CYGNSS FM07 (Cyclone Global Navigation Satellite System),USA,USA,USA,Earth Observation,Radar Imaging/Earth Science,LEO,29,,15/12/2016
CYGNSS FM08 (Cyclone Global Navigation Satellite System),USA,USA,USA,Earth Observation,Radar Imaging/Earth Science,LEO,29,,15/12/2016
D-Star ONE Sparrow,Germany,Germany,Germany,Technology Development,,LEO,4,,27/12/2018
D2/AtlaCom-1 ,Lithuania,Lithuania,Mexico,Earth Observation,Optical Imaging,LEO,9,,30/06/2021
"Daichi-2 (Advanced Land Observing Satellite-2, ALOS 2 2)",NR,Japan,Japan,Earth Observation,Radar Imaging,LEO,"2,120",,24/05/2014
DAMPE (Dark Matter Particle Explorer),NR,China,China,Space Science,,LEO,"1,850",,17/12/2015
DaVinci,NR,USA,USA,Educational,,LEO,4,,16/12/2018
"Dayun (Starera 17, Xingshidai 17) ",NR (4/22),China,China,Earth Observation,AI Remote Sensing,LEO,20,,27/02/2022
"DCBB (Kaituo-1B, CAS-3G)",NR,China,China,Technology Development,,LEO,3,,19/09/2015
Deimos 1,Spain,UK,Spain,Earth Observation,Optical Imaging,LEO,90,,29/07/2009
Deimos 2 ,NR,South Korea,Spain,Earth Observation,Optical Imaging,LEO,310,,19/06/2014
Dekart (Descartes),Russia,Germany,Russia,Space Science,,LEO,5,,28/09/2020
Delfi-C3 (DO-64),NR,Netherlands,Netherlands,Technology Development,,LEO,7,,28/04/2008
DeMi (Deformable Mirror),USA,USA,USA,Technology Development,,LEO,9,,13/07/2020
DEWASAT-2,United Arab Emirates,Lithuania,United Arab Emirates,Earth Observation,Optical Imaging,LEO,10, 10 ,15/04/2023
DhabiSat-1,United Arab Emirates,United Arab Emirates,United Arab Emirates,Technology Development,,LEO,4,,20/02/2021
DHFR (DARPA High Frequency Receiver),NR,USA,USA,Technology Development,,LEO,8,,26/08/2017
Diamond Blue (3 Diamonds 1),United Kingdom,Denmark,United Kingdom,Technology Development,,LEO,6,,23/06/2017
Diamond Green (3 Diamonds 2),United Kingdom,Denmark,United Kingdom,Technology Development,,LEO,6,,23/06/2017
Diamond Red (3 Diamonds 3),United Kingdom,Denmark,United Kingdom,Technology Development,,LEO,6,,23/06/2017
Dido-2,NR,Netherlands,Switzerland,Technology Development,,LEO,10,,15/02/2017
Dido-3,NR,Netherlands,Switzerland,Space Science,,LEO,6,,2/09/2020
DirecTV-10,USA,USA,USA,Communications,,GEO,"5,900"," 3,700 ",7/07/2007
DirecTV-11,USA,USA,USA,Communications,,GEO,"5,900",,19/03/2008
DirecTV-12,USA,USA,USA,Communications,,GEO,"5,900",,29/12/2009
DirecTV-14,USA,USA,USA,Communications,,GEO,"5,900",,6/12/2014
DirecTV-15,NR,Germany/France,USA,Communications,,GEO,"5,500"," 2,364 ",27/05/2015
DirecTV-5 (Tempo 1),USA,USA,USA,Communications,,GEO,"4,300"," 3,640 ",7/05/2002
DirecTV-8,USA,USA,USA,Communications,,GEO,"3,800",,22/05/2005
DirecTV-9S,USA,USA,USA,Communications,,GEO,"5,500"," 2,364 ",13/10/2006
DISCO-1 (Danish Student Cubesat Programme),Denmark,Denmark,Denmark,Space Science,,LEO,1, 1 ,15/04/2023
Diwata-2B,NR,Philippines,Japan,Earth Observation,Optical Imaging,LEO,56,,29/10/2018
DLR Tubsat ,NR,Germany,Germany,Earth Science,,LEO,45,,26/05/1999
DMC 3-1 (Disaster Monitoring Constellation),United Kingdom,UK,United Kingdom,Earth Observation,Optical Imaging,LEO,447,,10/07/2015
DMC 3-2 (Disaster Monitoring Constellation),United Kingdom,UK,United Kingdom,Earth Observation,Optical Imaging,LEO,447,,10/07/2015
DMC 3-3 (Disaster Monitoring Constellation),United Kingdom,UK,United Kingdom,Earth Observation,Optical Imaging,LEO,447,,10/07/2015
DMSat-1 (Dubai Municipality Satellite),NR (5/21),Canada,United Arab Emirates,Earth Observation,,LEO,15,,22/03/2021
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",USA,USA,USA,Earth Observation,Earth Science/Meterology,LEO,"1,134", 823 ,4/04/1997
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",USA,USA,USA,Earth Observation,Earth Science/Meterology,LEO,"1,152", 823 ,12/12/1999
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",USA,USA,USA,Earth Observation,Earth Science/Meterology,LEO,"1,154", 825 ,18/10/2003
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173)",USA,USA,USA,Earth Observation,Earth Science/Meterology,LEO,"1,154", 825 ,4/11/2006
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",USA,USA,USA,Earth Observation,Earth Science/Meterology,LEO,"1,155", 825 ,18/10/2009
Dodona,NR (4/22),USA,USA,Technology Development,,LEO,5,,13/01/2022
DoT-1 (Demonstration of Technology 1),United Kingdom,UK,United Kingdom,Technology Development,,LEO,18,,5/07/2019
Dove 3k-10 (0 Flock 3K-10 106d),USA,USA,USA,Earth Observation,Optical Imaging,LEO,4,,27/12/2018
Dove 3k-4 (0 Flock 3K-4 1063),USA,USA,USA,Earth Observation,Optical Imaging,LEO,4,,27/12/2018
Dove 3k-5 (0 Flock 3K-5 1067),USA,USA,USA,Earth Observation,Optical Imaging,LEO,4,,27/12/2018
Dove 3k-7 (0 Flock 3K-7 106a),USA,USA,USA,Earth Observation,Optical Imaging,LEO,4,,27/12/2018
Dove 3k-9 (0 Flock 3K-9 1065),USA,USA,USA,Earth Observation,Optical Imaging,LEO,4,,27/12/2018
Dove 3m-4 (0 Flock 3M-4 0F4C),USA,USA,USA,Earth Observation,Optical Imaging,LEO,4,,31/10/2017
Dove 3p-11 (0 Flock 3P-11 101F),USA,USA,USA,Earth Observation,Optical Imaging,LEO,4,,14/02/2017
Dove 3p-12 (0 Flock 3P-12 1010),USA,USA,USA,Earth Observation,Optical Imaging,LEO,4,,14/02/2017
Dove 3p-2 (0 Flock 3P-2 1001),USA,USA,USA,Earth Observation,Optical Imaging,LEO,4,,14/02/2017
Dove 3p-23 (0 Flock 3P-23 1025),USA,USA,USA,Earth Observation,Optical Imaging,LEO,4,,14/02/2017
